"Id","SleepDay","TotalMinutesAsleep","TotalTimeInBed"
1503960366,"4/12/2016 12:00:00 AM",327,346
1503960366,"4/13/2016 12:00:00 AM",384,407
1503960366,"4/15/2016 12:00:00 AM",412,442
1503960366,"4/16/2016 12:00:00 AM",340,367
1503960366,"4/17/2016 12:00:00 AM",700,712
1503960366,"4/19/2016 12:00:00 AM",304,320
1503960366,"4/20/2016 12:00:00 AM",360,377
1503960366,"4/21/2016 12:00:00 AM",325,364
1503960366,"4/23/2016 12:00:00 AM",361,384
1503960366,"4/24/2016 12:00:00 AM",430,449
1503960366,"4/25/2016 12:00:00 AM",277,323
1503960366,"4/26/2016 12:00:00 AM",245,274
1503960366,"4/28/2016 12:00:00 AM",366,393
1503960366,"4/29/2016 12:00:00 AM",341,354
1503960366,"4/30/2016 12:00:00 AM",404,425
1503960366,"5/1/2016 12:00:00 AM",369,396
1503960366,"5/2/2016 12:00:00 AM",277,309
1503960366,"5/3/2016 12:00:00 AM",273,296
1503960366,"5/5/2016 12:00:00 AM",247,264
1503960366,"5/6/2016 12:00:00 AM",334,367
1503960366,"5/7/2016 12:00:00 AM",331,349
1503960366,"5/8/2016 12:00:00 AM",594,611
1503960366,"5/9/2016 12:00:00 AM",338,342
1503960366,"5/10/2016 12:00:00 AM",383,403
1503960366,"5/11/2016 12:00:00 AM",285,306
1644430081,"4/29/2016 12:00:00 AM",119,127
1644430081,"4/30/2016 12:00:00 AM",124,142
1644430081,"5/2/2016 12:00:00 AM",796,961
1644430081,"5/8/2016 12:00:00 AM",137,154
1844505072,"4/15/2016 12:00:00 AM",644,961
1844505072,"4/30/2016 12:00:00 AM",722,961
1844505072,"5/1/2016 12:00:00 AM",590,961
1927972279,"4/12/2016 12:00:00 AM",750,775
1927972279,"4/13/2016 12:00:00 AM",398,422
1927972279,"4/15/2016 12:00:00 AM",475,499
1927972279,"4/26/2016 12:00:00 AM",296,315
1927972279,"4/28/2016 12:00:00 AM",166,178
2026352035,"4/12/2016 12:00:00 AM",503,546
2026352035,"4/13/2016 12:00:00 AM",531,565
2026352035,"4/14/2016 12:00:00 AM",545,568
2026352035,"4/15/2016 12:00:00 AM",523,573
2026352035,"4/16/2016 12:00:00 AM",524,567
2026352035,"4/17/2016 12:00:00 AM",437,498
2026352035,"4/19/2016 12:00:00 AM",498,540
2026352035,"4/20/2016 12:00:00 AM",461,510
2026352035,"4/21/2016 12:00:00 AM",477,514
2026352035,"4/22/2016 12:00:00 AM",520,545
2026352035,"4/23/2016 12:00:00 AM",522,554
2026352035,"4/24/2016 12:00:00 AM",555,591
2026352035,"4/25/2016 12:00:00 AM",506,531
2026352035,"4/27/2016 12:00:00 AM",508,545
2026352035,"4/28/2016 12:00:00 AM",513,545
2026352035,"4/29/2016 12:00:00 AM",490,510
2026352035,"4/30/2016 12:00:00 AM",573,607
2026352035,"5/1/2016 12:00:00 AM",527,546
2026352035,"5/2/2016 12:00:00 AM",511,543
2026352035,"5/4/2016 12:00:00 AM",538,560
2026352035,"5/5/2016 12:00:00 AM",468,485
2026352035,"5/6/2016 12:00:00 AM",524,548
2026352035,"5/7/2016 12:00:00 AM",511,521
2026352035,"5/8/2016 12:00:00 AM",541,568
2026352035,"5/9/2016 12:00:00 AM",531,556
2026352035,"5/10/2016 12:00:00 AM",357,380
2026352035,"5/11/2016 12:00:00 AM",523,553
2026352035,"5/12/2016 12:00:00 AM",456,485
2320127002,"4/23/2016 12:00:00 AM",61,69
2347167796,"4/13/2016 12:00:00 AM",467,531
2347167796,"4/14/2016 12:00:00 AM",445,489
2347167796,"4/15/2016 12:00:00 AM",452,504
2347167796,"4/17/2016 12:00:00 AM",556,602
2347167796,"4/18/2016 12:00:00 AM",500,557
2347167796,"4/19/2016 12:00:00 AM",465,514
2347167796,"4/21/2016 12:00:00 AM",460,484
2347167796,"4/22/2016 12:00:00 AM",405,461
2347167796,"4/23/2016 12:00:00 AM",374,386
2347167796,"4/24/2016 12:00:00 AM",442,459
2347167796,"4/25/2016 12:00:00 AM",433,471
2347167796,"4/26/2016 12:00:00 AM",436,490
2347167796,"4/27/2016 12:00:00 AM",448,499
2347167796,"4/28/2016 12:00:00 AM",408,450
2347167796,"4/29/2016 12:00:00 AM",411,473
3977333714,"4/12/2016 12:00:00 AM",274,469
3977333714,"4/13/2016 12:00:00 AM",295,456
3977333714,"4/14/2016 12:00:00 AM",291,397
3977333714,"4/15/2016 12:00:00 AM",424,556
3977333714,"4/16/2016 12:00:00 AM",283,510
3977333714,"4/17/2016 12:00:00 AM",381,566
3977333714,"4/18/2016 12:00:00 AM",412,522
3977333714,"4/19/2016 12:00:00 AM",219,395
3977333714,"4/20/2016 12:00:00 AM",152,305
3977333714,"4/21/2016 12:00:00 AM",332,512
3977333714,"4/22/2016 12:00:00 AM",355,476
3977333714,"4/23/2016 12:00:00 AM",235,372
3977333714,"4/24/2016 12:00:00 AM",310,526
3977333714,"4/25/2016 12:00:00 AM",262,467
3977333714,"4/26/2016 12:00:00 AM",250,371
3977333714,"4/27/2016 12:00:00 AM",349,540
3977333714,"4/28/2016 12:00:00 AM",261,423
3977333714,"4/29/2016 12:00:00 AM",333,478
3977333714,"4/30/2016 12:00:00 AM",237,382
3977333714,"5/1/2016 12:00:00 AM",383,626
3977333714,"5/2/2016 12:00:00 AM",230,384
3977333714,"5/3/2016 12:00:00 AM",292,500
3977333714,"5/4/2016 12:00:00 AM",213,336
3977333714,"5/5/2016 12:00:00 AM",318,480
3977333714,"5/6/2016 12:00:00 AM",323,512
3977333714,"5/7/2016 12:00:00 AM",237,443
3977333714,"5/8/2016 12:00:00 AM",259,456
3977333714,"5/10/2016 12:00:00 AM",312,452
4020332650,"4/12/2016 12:00:00 AM",501,541
4020332650,"4/16/2016 12:00:00 AM",77,77
4020332650,"5/3/2016 12:00:00 AM",322,332
4020332650,"5/4/2016 12:00:00 AM",478,536
4020332650,"5/5/2016 12:00:00 AM",226,248
4020332650,"5/6/2016 12:00:00 AM",385,408
4020332650,"5/8/2016 12:00:00 AM",364,402
4020332650,"5/10/2016 12:00:00 AM",442,494
4319703577,"4/14/2016 12:00:00 AM",535,557
4319703577,"4/15/2016 12:00:00 AM",465,491
4319703577,"4/16/2016 12:00:00 AM",506,522
4319703577,"4/18/2016 12:00:00 AM",515,551
4319703577,"4/19/2016 12:00:00 AM",461,498
4319703577,"4/20/2016 12:00:00 AM",523,543
4319703577,"4/21/2016 12:00:00 AM",59,65
4319703577,"4/22/2016 12:00:00 AM",533,550
4319703577,"4/23/2016 12:00:00 AM",692,722
4319703577,"4/24/2016 12:00:00 AM",467,501
4319703577,"4/25/2016 12:00:00 AM",488,506
4319703577,"4/26/2016 12:00:00 AM",505,516
4319703577,"4/27/2016 12:00:00 AM",286,307
4319703577,"4/28/2016 12:00:00 AM",497,522
4319703577,"4/29/2016 12:00:00 AM",523,546
4319703577,"4/30/2016 12:00:00 AM",490,516
4319703577,"5/1/2016 12:00:00 AM",484,500
4319703577,"5/2/2016 12:00:00 AM",478,506
4319703577,"5/3/2016 12:00:00 AM",474,512
4319703577,"5/6/2016 12:00:00 AM",450,491
4319703577,"5/7/2016 12:00:00 AM",507,530
4319703577,"5/8/2016 12:00:00 AM",602,638
4319703577,"5/9/2016 12:00:00 AM",535,565
4319703577,"5/10/2016 12:00:00 AM",487,517
4319703577,"5/11/2016 12:00:00 AM",529,558
4319703577,"5/12/2016 12:00:00 AM",302,321
4388161847,"4/15/2016 12:00:00 AM",499,526
4388161847,"4/16/2016 12:00:00 AM",426,448
4388161847,"4/17/2016 12:00:00 AM",619,641
4388161847,"4/18/2016 12:00:00 AM",99,104
4388161847,"4/19/2016 12:00:00 AM",329,338
4388161847,"4/20/2016 12:00:00 AM",421,451
4388161847,"4/21/2016 12:00:00 AM",442,458
4388161847,"4/22/2016 12:00:00 AM",82,85
4388161847,"4/23/2016 12:00:00 AM",478,501
4388161847,"4/24/2016 12:00:00 AM",552,595
4388161847,"4/26/2016 12:00:00 AM",319,346
4388161847,"4/27/2016 12:00:00 AM",439,500
4388161847,"4/28/2016 12:00:00 AM",428,458
4388161847,"4/30/2016 12:00:00 AM",409,430
4388161847,"5/1/2016 12:00:00 AM",547,597
4388161847,"5/2/2016 12:00:00 AM",368,376
4388161847,"5/4/2016 12:00:00 AM",390,414
4388161847,"5/5/2016 12:00:00 AM",471,495
4388161847,"5/7/2016 12:00:00 AM",472,496
4388161847,"5/8/2016 12:00:00 AM",529,541
4388161847,"5/9/2016 12:00:00 AM",62,65
4388161847,"5/10/2016 12:00:00 AM",354,375
4388161847,"5/11/2016 12:00:00 AM",469,494
4445114986,"4/12/2016 12:00:00 AM",429,457
4445114986,"4/13/2016 12:00:00 AM",370,406
4445114986,"4/14/2016 12:00:00 AM",441,492
4445114986,"4/15/2016 12:00:00 AM",337,379
4445114986,"4/16/2016 12:00:00 AM",462,499
4445114986,"4/17/2016 12:00:00 AM",98,107
4445114986,"4/19/2016 12:00:00 AM",388,424
4445114986,"4/20/2016 12:00:00 AM",439,462
4445114986,"4/21/2016 12:00:00 AM",436,469
4445114986,"4/22/2016 12:00:00 AM",388,417
4445114986,"4/25/2016 12:00:00 AM",328,345
4445114986,"4/26/2016 12:00:00 AM",353,391
4445114986,"4/27/2016 12:00:00 AM",332,374
4445114986,"4/28/2016 12:00:00 AM",419,442
4445114986,"4/29/2016 12:00:00 AM",106,108
4445114986,"4/30/2016 12:00:00 AM",322,353
4445114986,"5/1/2016 12:00:00 AM",439,459
4445114986,"5/2/2016 12:00:00 AM",502,542
4445114986,"5/3/2016 12:00:00 AM",417,450
4445114986,"5/4/2016 12:00:00 AM",337,363
4445114986,"5/5/2016 12:00:00 AM",462,513
4445114986,"5/6/2016 12:00:00 AM",374,402
4445114986,"5/7/2016 12:00:00 AM",401,436
4445114986,"5/8/2016 12:00:00 AM",361,391
4445114986,"5/9/2016 12:00:00 AM",457,533
4445114986,"5/10/2016 12:00:00 AM",405,426
4445114986,"5/11/2016 12:00:00 AM",499,530
4445114986,"5/12/2016 12:00:00 AM",483,501
4558609924,"4/21/2016 12:00:00 AM",126,137
4558609924,"4/26/2016 12:00:00 AM",103,121
4558609924,"4/29/2016 12:00:00 AM",171,179
4558609924,"5/1/2016 12:00:00 AM",115,129
4558609924,"5/8/2016 12:00:00 AM",123,134
4702921684,"4/12/2016 12:00:00 AM",425,439
4702921684,"4/13/2016 12:00:00 AM",400,430
4702921684,"4/14/2016 12:00:00 AM",384,415
4702921684,"4/15/2016 12:00:00 AM",253,257
4702921684,"4/16/2016 12:00:00 AM",382,406
4702921684,"4/17/2016 12:00:00 AM",591,612
4702921684,"4/18/2016 12:00:00 AM",293,312
4702921684,"4/19/2016 12:00:00 AM",457,487
4702921684,"4/20/2016 12:00:00 AM",454,468
4702921684,"4/21/2016 12:00:00 AM",425,434
4702921684,"4/23/2016 12:00:00 AM",465,475
4702921684,"4/24/2016 12:00:00 AM",480,506
4702921684,"4/25/2016 12:00:00 AM",370,380
4702921684,"4/26/2016 12:00:00 AM",421,429
4702921684,"4/27/2016 12:00:00 AM",432,449
4702921684,"4/28/2016 12:00:00 AM",442,461
4702921684,"4/29/2016 12:00:00 AM",433,447
4702921684,"4/30/2016 12:00:00 AM",479,501
4702921684,"5/3/2016 12:00:00 AM",327,373
4702921684,"5/4/2016 12:00:00 AM",412,434
4702921684,"5/5/2016 12:00:00 AM",414,428
4702921684,"5/6/2016 12:00:00 AM",404,449
4702921684,"5/7/2016 12:00:00 AM",520,543
4702921684,"5/9/2016 12:00:00 AM",435,458
4702921684,"5/10/2016 12:00:00 AM",416,431
4702921684,"5/11/2016 12:00:00 AM",354,366
4702921684,"5/12/2016 12:00:00 AM",404,442
5553957443,"4/12/2016 12:00:00 AM",441,464
5553957443,"4/13/2016 12:00:00 AM",455,488
5553957443,"4/14/2016 12:00:00 AM",357,418
5553957443,"4/15/2016 12:00:00 AM",377,409
5553957443,"4/16/2016 12:00:00 AM",651,686
5553957443,"4/17/2016 12:00:00 AM",350,402
5553957443,"4/18/2016 12:00:00 AM",520,541
5553957443,"4/19/2016 12:00:00 AM",357,410
5553957443,"4/20/2016 12:00:00 AM",658,678
5553957443,"4/21/2016 12:00:00 AM",399,431
5553957443,"4/22/2016 12:00:00 AM",322,353
5553957443,"4/23/2016 12:00:00 AM",631,725
5553957443,"4/24/2016 12:00:00 AM",553,640
5553957443,"4/25/2016 12:00:00 AM",433,468
5553957443,"4/26/2016 12:00:00 AM",412,453
5553957443,"4/27/2016 12:00:00 AM",347,391
5553957443,"4/28/2016 12:00:00 AM",421,457
5553957443,"4/29/2016 12:00:00 AM",450,495
5553957443,"4/30/2016 12:00:00 AM",775,843
5553957443,"5/1/2016 12:00:00 AM",622,686
5553957443,"5/2/2016 12:00:00 AM",409,471
5553957443,"5/3/2016 12:00:00 AM",380,429
5553957443,"5/4/2016 12:00:00 AM",447,470
5553957443,"5/5/2016 12:00:00 AM",419,464
5553957443,"5/6/2016 12:00:00 AM",400,434
5553957443,"5/7/2016 12:00:00 AM",442,470
5553957443,"5/8/2016 12:00:00 AM",568,608
5553957443,"5/9/2016 12:00:00 AM",453,494
5553957443,"5/10/2016 12:00:00 AM",418,443
5553957443,"5/11/2016 12:00:00 AM",463,486
5553957443,"5/12/2016 12:00:00 AM",438,475
5577150313,"4/12/2016 12:00:00 AM",419,438
5577150313,"4/13/2016 12:00:00 AM",432,458
5577150313,"4/14/2016 12:00:00 AM",477,497
5577150313,"4/15/2016 12:00:00 AM",392,413
5577150313,"4/16/2016 12:00:00 AM",406,445
5577150313,"4/17/2016 12:00:00 AM",549,583
5577150313,"4/18/2016 12:00:00 AM",527,553
5577150313,"4/19/2016 12:00:00 AM",449,465
5577150313,"4/20/2016 12:00:00 AM",447,480
5577150313,"4/21/2016 12:00:00 AM",414,437
5577150313,"4/22/2016 12:00:00 AM",338,366
5577150313,"4/23/2016 12:00:00 AM",384,402
5577150313,"4/24/2016 12:00:00 AM",543,615
5577150313,"4/25/2016 12:00:00 AM",421,461
5577150313,"4/26/2016 12:00:00 AM",354,377
5577150313,"4/27/2016 12:00:00 AM",424,452
5577150313,"4/28/2016 12:00:00 AM",361,372
5577150313,"4/29/2016 12:00:00 AM",459,485
5577150313,"4/30/2016 12:00:00 AM",412,433
5577150313,"5/1/2016 12:00:00 AM",379,398
5577150313,"5/2/2016 12:00:00 AM",525,553
5577150313,"5/3/2016 12:00:00 AM",508,543
5577150313,"5/4/2016 12:00:00 AM",603,634
5577150313,"5/5/2016 12:00:00 AM",74,78
5577150313,"5/10/2016 12:00:00 AM",504,562
5577150313,"5/11/2016 12:00:00 AM",431,476
6117666160,"4/16/2016 12:00:00 AM",380,398
6117666160,"4/17/2016 12:00:00 AM",336,350
6117666160,"4/18/2016 12:00:00 AM",493,510
6117666160,"4/19/2016 12:00:00 AM",465,492
6117666160,"4/20/2016 12:00:00 AM",474,502
6117666160,"4/21/2016 12:00:00 AM",508,550
6117666160,"4/22/2016 12:00:00 AM",480,546
6117666160,"4/23/2016 12:00:00 AM",492,539
6117666160,"4/24/2016 12:00:00 AM",353,367
6117666160,"4/27/2016 12:00:00 AM",542,557
6117666160,"4/28/2016 12:00:00 AM",393,416
6117666160,"4/29/2016 12:00:00 AM",600,636
6117666160,"5/1/2016 12:00:00 AM",507,575
6117666160,"5/5/2016 12:00:00 AM",392,415
6117666160,"5/6/2016 12:00:00 AM",658,698
6117666160,"5/7/2016 12:00:00 AM",498,507
6117666160,"5/8/2016 12:00:00 AM",555,603
6117666160,"5/9/2016 12:00:00 AM",492,522
6775888955,"4/13/2016 12:00:00 AM",235,260
6775888955,"4/14/2016 12:00:00 AM",423,441
6775888955,"4/15/2016 12:00:00 AM",391,406
6962181067,"4/12/2016 12:00:00 AM",366,387
6962181067,"4/13/2016 12:00:00 AM",630,679
6962181067,"4/14/2016 12:00:00 AM",508,535
6962181067,"4/15/2016 12:00:00 AM",370,386
6962181067,"4/16/2016 12:00:00 AM",357,366
6962181067,"4/17/2016 12:00:00 AM",427,446
6962181067,"4/18/2016 12:00:00 AM",442,458
6962181067,"4/19/2016 12:00:00 AM",476,535
6962181067,"4/20/2016 12:00:00 AM",418,424
6962181067,"4/21/2016 12:00:00 AM",451,457
6962181067,"4/22/2016 12:00:00 AM",425,435
6962181067,"4/23/2016 12:00:00 AM",528,546
6962181067,"4/24/2016 12:00:00 AM",511,514
6962181067,"4/25/2016 12:00:00 AM",400,415
6962181067,"4/26/2016 12:00:00 AM",441,446
6962181067,"4/27/2016 12:00:00 AM",455,467
6962181067,"4/28/2016 12:00:00 AM",440,453
6962181067,"4/29/2016 12:00:00 AM",433,447
6962181067,"4/30/2016 12:00:00 AM",422,424
6962181067,"5/1/2016 12:00:00 AM",411,426
6962181067,"5/2/2016 12:00:00 AM",466,482
6962181067,"5/3/2016 12:00:00 AM",394,418
6962181067,"5/4/2016 12:00:00 AM",442,455
6962181067,"5/5/2016 12:00:00 AM",467,491
6962181067,"5/6/2016 12:00:00 AM",443,462
6962181067,"5/7/2016 12:00:00 AM",298,334
6962181067,"5/8/2016 12:00:00 AM",541,569
6962181067,"5/9/2016 12:00:00 AM",489,497
6962181067,"5/10/2016 12:00:00 AM",469,481
6962181067,"5/11/2016 12:00:00 AM",452,480
6962181067,"5/12/2016 12:00:00 AM",516,535
7007744171,"4/16/2016 12:00:00 AM",79,82
7007744171,"5/1/2016 12:00:00 AM",58,61
7086361926,"4/12/2016 12:00:00 AM",514,525
7086361926,"4/13/2016 12:00:00 AM",451,465
7086361926,"4/14/2016 12:00:00 AM",472,476
7086361926,"4/15/2016 12:00:00 AM",377,386
7086361926,"4/19/2016 12:00:00 AM",472,483
7086361926,"4/20/2016 12:00:00 AM",492,502
7086361926,"4/21/2016 12:00:00 AM",390,411
7086361926,"4/22/2016 12:00:00 AM",428,448
7086361926,"4/24/2016 12:00:00 AM",681,704
7086361926,"4/25/2016 12:00:00 AM",446,447
7086361926,"4/26/2016 12:00:00 AM",485,500
7086361926,"4/27/2016 12:00:00 AM",469,479
7086361926,"4/28/2016 12:00:00 AM",354,367
7086361926,"4/30/2016 12:00:00 AM",485,489
7086361926,"5/1/2016 12:00:00 AM",388,407
7086361926,"5/2/2016 12:00:00 AM",440,459
7086361926,"5/3/2016 12:00:00 AM",456,461
7086361926,"5/4/2016 12:00:00 AM",420,436
7086361926,"5/6/2016 12:00:00 AM",322,333
7086361926,"5/7/2016 12:00:00 AM",530,548
7086361926,"5/8/2016 12:00:00 AM",481,510
7086361926,"5/9/2016 12:00:00 AM",427,438
7086361926,"5/11/2016 12:00:00 AM",451,463
7086361926,"5/12/2016 12:00:00 AM",444,457
8053475328,"4/20/2016 12:00:00 AM",486,493
8053475328,"4/23/2016 12:00:00 AM",331,337
8053475328,"5/7/2016 12:00:00 AM",74,75
8378563200,"4/12/2016 12:00:00 AM",338,356
8378563200,"4/13/2016 12:00:00 AM",447,487
8378563200,"4/14/2016 12:00:00 AM",424,455
8378563200,"4/15/2016 12:00:00 AM",513,533
8378563200,"4/16/2016 12:00:00 AM",611,689
8378563200,"4/17/2016 12:00:00 AM",525,591
8378563200,"4/18/2016 12:00:00 AM",398,451
8378563200,"4/19/2016 12:00:00 AM",387,421
8378563200,"4/20/2016 12:00:00 AM",381,409
8378563200,"4/21/2016 12:00:00 AM",396,417
8378563200,"4/22/2016 12:00:00 AM",441,469
8378563200,"4/23/2016 12:00:00 AM",565,591
8378563200,"4/24/2016 12:00:00 AM",458,492
8378563200,"4/25/2016 12:00:00 AM",388,402
8378563200,"4/26/2016 12:00:00 AM",550,584
8378563200,"4/27/2016 12:00:00 AM",531,600
8378563200,"4/28/2016 12:00:00 AM",506,556
8378563200,"4/29/2016 12:00:00 AM",527,562
8378563200,"4/30/2016 12:00:00 AM",468,555
8378563200,"5/1/2016 12:00:00 AM",475,539
8378563200,"5/2/2016 12:00:00 AM",351,385
8378563200,"5/3/2016 12:00:00 AM",405,429
8378563200,"5/4/2016 12:00:00 AM",441,477
8378563200,"5/5/2016 12:00:00 AM",381,417
8378563200,"5/6/2016 12:00:00 AM",323,355
8378563200,"5/7/2016 12:00:00 AM",459,513
8378563200,"5/8/2016 12:00:00 AM",545,606
8378563200,"5/9/2016 12:00:00 AM",359,399
8378563200,"5/10/2016 12:00:00 AM",342,391
8378563200,"5/11/2016 12:00:00 AM",368,387
8378563200,"5/12/2016 12:00:00 AM",496,546
8792009665,"4/12/2016 12:00:00 AM",458,493
8792009665,"4/13/2016 12:00:00 AM",531,552
8792009665,"4/14/2016 12:00:00 AM",486,503
8792009665,"4/15/2016 12:00:00 AM",363,377
8792009665,"4/20/2016 12:00:00 AM",528,547
8792009665,"4/22/2016 12:00:00 AM",391,407
8792009665,"4/23/2016 12:00:00 AM",339,360
8792009665,"4/27/2016 12:00:00 AM",423,428
8792009665,"4/28/2016 12:00:00 AM",402,416
8792009665,"4/29/2016 12:00:00 AM",398,406
8792009665,"4/30/2016 12:00:00 AM",343,360
8792009665,"5/1/2016 12:00:00 AM",503,527
8792009665,"5/2/2016 12:00:00 AM",415,423
8792009665,"5/3/2016 12:00:00 AM",516,545
8792009665,"5/4/2016 12:00:00 AM",439,463
